Month,CPI_SA,Core_SA,Services_SA,PPI_SA,CoreGoods_SA,PPI_Mfg_SA,USDTRY,EURTRY
2003-01-01,94.49601848,95.15414773,93.00348519,94.31848123,96.11636436,98.21765371,1.65982884,1.7605443181818183
2003-02-01,95.97186699,96.62612141,94.21849182,97.28286696,97.31112816,100.0746516,1.62714547,1.75414719
2003-03-01,97.55162795,97.81686447,95.56477275,100.4002977,98.31123854,101.8586312,1.6593788809523808,1.792434880952381
2003-04-01,98.42370216,98.5854923,96.82034906,102.1678989,99.07887541,100.4892873,1.6311205952380954,1.76799550
2003-05-01,99.29437811,99.13700606,98.1078056,101.5336582,99.12569637,98.35102555,1.4939715714285713,1.7200263095238095
2003-06-01,100.1515011,99.72027069,99.47958399,99.57854242,99.42264932,98.18861441,1.4225219999999998,1.6629390238095239
2003-07-01,100.7114184,100.4698277,100.6528832,99.04495299,100.4602894,98.46981393,1.4004771739130435,1.5937992608695652
2003-08-01,101.3449863,101.4197467,101.9020538,98.85054444,101.2080202,99.36236166,1.4004718571428572,1.5639036666666666
2003-09-01,102.3549213,102.2645332,103.307346,98.90431702,102.0386465,98.93962561,1.3756549090909092,1.5391658863636364
2003-10-01,102.414499,102.4563714,104.4428672,99.45720942,101.7945083,100.7101981,1.4246985681818183,1.6679367045454545
2003-11-01,103.1097362,102.7364549,105.59389,101.1503563,101.9959379,102.6902014,1.4760050294117648,1.7213085000000001
2003-12-01,103.9209914,103.3544466,106.7729089,101.7832181,102.4386186,102.6479356,1.432562695652174,1.7571236739130436
2004-01-01,104.468654,104.2253117,107.9591699,104.4635743,103.1800342,104.4781891,1.34666050,1.7003078095238096
2004-02-01,105.1104785,105.099012,109.4226356,106.1746454,103.6081963,104.3314414,1.3270221470588235,1.6813947352941176
2004-03-01,105.8931961,105.5754641,110.4926807,108.4027604,103.6549237,105.2685457,1.3190309347826086,1.6193532391304348
2004-04-01,106.2894726,105.8892679,111.7214811,111.2747676,102.937294,106.8407391,1.35462400,1.6273943571428573
2004-05-01,106.6425345,106.5156715,112.8401841,111.2375404,102.82174,112.5240622,1.50496275,1.80589073
2004-06-01,107.3213756,107.4909753,113.8417024,110.0641952,103.2296402,114.1572661,1.4923354090909091,1.8121125227272727
2004-07-01,108.5952176,108.7270397,115.1463952,108.3944877,103.8655863,114.5766803,1.4517315909090909,1.7817059999999998
2004-08-01,109.870884,109.8938713,116.4987447,109.247955,104.3732834,116.7718088,1.4709055714285713,1.7923604761904763
2004-09-01,110.5852384,110.8730978,117.6219376,111.2637373,104.8288184,117.8291621,1.5019567045454545,1.8330127272727272
2004-10-01,111.9264939,112.0062078,118.9159773,114.854091,105.7601828,121.5481967,1.48836133,1.85458753
2004-11-01,112.770703,113.0587912,120.1626773,115.7172099,106.8695303,120.5364527,1.44890915,1.8780624000000001
2004-12-01,113.5452261,113.8793746,121.4230224,115.8702549,107.3616495,118.7549729,1.3967016304347828,1.870422739130435
2005-01-01,114.0376415,114.5232773,122.9276908,114.8309275,107.8052151,117.5,1.353292105263158,1.7830289473684213
2005-02-01,114.2525466,115.0154691,123.9348509,114.8051442,107.986308,117.66,1.31331500,1.70808500
2005-03-01,114.4391605,115.7437017,125.2746674,117.2462814,108.0942636,119.48,1.3081043478260868,1.726054347826087
2005-04-01,115.045102,116.6081277,126.3564754,119.615446,108.9375398,121.81,1.3567761904761904,1.7562380952380954
2005-05-01,115.9466166,117.2838293,127.548804,119.2322819,109.6570847,121.3,1.3683380952380952,1.741754761904762
2005-06-01,116.9102677,117.8053706,128.8702808,119.6391611,109.978982,121.81,1.3579500000000002,1.654090909090909
2005-07-01,117.0881129,118.0469235,130.1226775,119.3345877,109.0101955,121.37,1.3359404761904763,1.608911904761905
2005-08-01,118.5709727,118.5884676,131.2428545,121.4006956,108.8986258,123.17,1.3398522727272728,1.6475068181818182
2005-09-01,119.4615357,119.3793652,132.1917227,123.4044825,108.5204108,125.07,1.3374227272727273,1.6403977272727275
2005-10-01,120.326604,120.063532,133.4476841,124.2161727,108.9277474,125.55,1.354454761904762,1.6281428571428571
