DATE,GDP,PRIV_CONS,GROSS_FIXED_CAPITAL,GDP_trend_100,GDP_trend_400,GDP_trend_800,GDP_trend_1600,PRIV_CONS_trend_100,PRIV_CONS_trend_400,PRIV_CONS_trend_800,PRIV_CONS_trend_1600,GROSS_FIXED_CAPITAL_trend_100,GROSS_FIXED_CAPITAL_trend_400,GROSS_FIXED_CAPITAL_trend_800,GROSS_FIXED_CAPITAL_trend_1600
Mar-98,70.66,74.71,62.92,68.55611991780391,68.25959651477956,67.68028580940944,66.77469736030145,73.18350267556673,73.29209488418564,72.84123768808013,72.05908745207404,63.34959713282065,62.13034883454139,60.145658374623906,57.13964173859763
Jun-98,63.33,68.39,64.79,68.60837956649523,68.31353999294811,67.80010207625331,67.01948659264934,73.39244895534885,73.35276616055502,72.92606423128223,72.23734424439573,62.30354201547647,61.21424113588221,59.481251079943846,56.91391685423805
Sep-98,69.26,74.08,66.79,68.68167801600853,68.3734844798297,67.92364298583541,67.26670413914704,73.61666020837531,73.41698219971393,73.01322672737422,72.41725785705988,61.25319092680408,60.300107565136685,58.82031171229552,56.691804693791845
Dec-98,76.95,78.82,59.58,68.7442702715008,68.43297213415504,68.04904555329868,67.51647238482394,73.82137691833694,73.47588084905055,73.09939104895692,72.59808052025616,60.21911247532052,59.398861647378766,58.17294413486071,56.48184053313848
Mar-99,68.34,74.46,53.84,68.77019455796894,68.48776140345525,68.17611724005376,67.77015952462249,73.97647296684084,73.52225750045378,73.18255653522192,72.78010367801363,59.27724336027478,58.53764163876957,57.559214321180846,56.298871020223814
Jun-99,60.56,67.5,52.08,68.81554639769492,68.55490330492611,68.31579170056969,68.03502970824458,74.10180846631076,73.56226784368985,73.26787328654966,72.96750747403615,58.49712915616264,57.744038641351786,57.00094706462882,56.159679152660466
Sep-99,66.6,75.25,56.08,68.93211936738102,68.65107945225476,68.47920744276549,68.31870323568916,74.22207879950209,73.60441192477398,73.36208820765154,73.16552198722877,57.89394300387722,57.033899653071195,56.515318140676044,56.07951113367339
Dec-99,73.87,77.3,50.32,69.08915157975261,68.77298420086603,68.66780823493441,68.62412851338753,74.29596126450708,73.64203412011213,73.4647383616308,73.37596010432523,57.41868675274998,56.40891157527021,56.11335214096316,56.071063367017096
Mar-00,73.14,77.75,65.63,69.2325599538612,68.9121842075541,68.88068883606626,68.95317975824871,74.29241237142301,73.67259277629827,73.57772070133106,73.6019375108173,57.00422282207359,55.86837656015855,55.80552950945491,56.14703256198759
Jun-00,62.48,69.87,58.81,69.35606989296078,69.07298866861102,69.12344674485716,69.31100985686082,74.21042901770213,73.70269115462615,73.70772625664392,73.84902241713152,56.51242676361329,55.39637448100776,55.595088999939854,56.31652101327646
