DATE,GDP,PRIV_CONS,GROSS_FIXED_CAPITAL
Mar-98,70.66,74.71,62.92
Jun-98,63.33,68.39,64.79
Sep-98,69.26,74.08,66.79
Dec-98,76.95,78.82,59.58
Mar-99,68.34,74.46,53.84
Jun-99,60.56,67.5,52.08
Sep-99,66.6,75.25,56.08
Dec-99,73.87,77.3,50.32
Mar-00,73.14,77.75,65.63
Jun-00,62.48,69.87,58.81
Sep-00,71.21,76.99,69.14
Dec-00,80.23,82.03,64.9
Mar-01,68.86,72.5,47.91
Jun-01,63.88,68.89,55.11
Sep-01,66.33,69.85,48.86
Dec-01,74.61,75.9,43.36
Mar-02,73.27,75.27,56.45
Jun-02,63.21,66.55,49.66
Sep-02,71.46,73.63,57.89
Dec-02,79.66,80.96,54.33
Mar-03,77.63,81.61,67.41
Jun-03,67.78,73.13,56.04
Sep-03,74.22,78.88,65.76
Dec-03,84.23,84.89,66.74
Mar-04,85.03,89.2,88.89
Jun-04,74.63,81.07,81.71
Sep-04,82.92,89.7,95.54
Dec-04,91.43,93.15,85.75
Mar-05,92.74,94.78,106.29
Jun-05,81.94,84.9,91.91
Sep-05,89.35,92.11,111.28
Dec-05,98.81,99.14,105.08
Mar-06,99.28,98.45,122.64
Jun-06,87.37,90.7,111
Sep-06,97.59,98.74,129.68
Dec-06,104.86,101.47,120.74
Mar-07,104.38,103.62,129.4
Jun-07,93.67,94.01,113.89
Sep-07,100.88,100.54,134.31
Dec-07,108.81,108.19,126.86
Mar-08,105.09,104.02,125.85
Jun-08,99.49,99.19,126.09
Sep-08,103.35,101.71,136.03
Dec-08,110.1,108.54,121.68
Mar-09,100,100,100
Jun-09,85.48,90.36,81.36
Sep-09,96.44,98.39,105.91
Dec-09,108.73,105.41,100.4
Mar-10,108.59,111.25,121.96
Jun-10,91.38,96.51,89.71
Sep-10,104.16,106.76,119.02
Dec-10,118.55,121.48,130.58
Mar-11,120.51,124.4,150.84
Jun-11,102.08,112.98,117.94
Sep-11,115.92,122.36,156.21
Dec-11,132.03,132.49,158.83
Mar-12,126.25,128.3,155.16
Jun-12,108.49,116.23,127.44
Sep-12,122.02,124.87,156.53
Dec-12,137.19,136.42,160.51
Mar-13,137.21,138.46,177.26
Jun-13,118.21,124.82,146.11
Sep-13,133.74,134.28,179.11
Dec-13,149.38,148.3,186.93
Mar-14,143.92,142.56,185.96
Jun-14,128.35,127.35,167.52
Sep-14,137.72,138.57,180.25
Dec-14,154.37,151.06,189.61
Mar-15,152.52,149.79,203.22
Jun-15,132.89,136.64,171.37
Sep-15,147.59,145.5,205.54
Dec-15,164.55,157.3,206.66
Mar-16,157.58,155.48,207.7
Jun-16,139.01,140.43,182.03
Sep-16,154.59,152.9,209.02
Dec-16,164.37,160.07,208.68
Mar-17,169.33,164.44,224.85
Jun-17,146.48,145.56,190.56
Sep-17,164.36,159.86,226.46
Dec-17,181.66,173.41,234.93
Mar-18,174.57,165.69,225.17
Jun-18,157.5,154.81,212.4
Sep-18,174.13,164.94,244.55
Dec-18,186.74,177.03,226.32
Mar-19,176.08,168.39,197.09
Jun-19,153.97,149.77,182.28
Sep-19,171.5,165.1,193.32
Dec-19,188.04,179.34,193.8
Mar-20,179.03,173.19,211.53
Jun-20,160.04,155.66,180.44
Sep-20,153.66,149.3,182.54
Dec-20,199.55,193.21,238.03
Mar-21,200.14,200.84,226.83
Jun-21,172.64,169.4,203.41
Sep-21,188.54,186.49,220.8
Dec-21,216.86,213.78,234.22
Mar-22,210.77,238.19,229.7
Jun-22,185.99,202.42,209.15
Sep-22,202.04,225.48,229.26
Dec-22,225.15,254.07,229.9
Mar-23,220.2,268.41,250.12
Jun-23,192.75,235.02,217.03
Sep-23,212.13,263.22,242.26
Dec-23,236.9,279.58,263.87
