quarter,Gayrisafi yurt içi hasıla (alıcı fiyatlarıyla),Unemployment rate
1998-03-01,71.63327677979876,
1998-06-01,71.06268695545606,
1998-09-01,70.06278172631133,
1998-12-01,69.88153761227031,
1999-03-01,68.70346052179995,
1999-06-01,68.31616835101394,
1999-09-01,67.16393552024716,
1999-12-01,69.17040455931962,
2000-03-01,70.25973562753622,
2000-06-01,72.99520735066034,
2000-09-01,74.08233695903303,
2000-12-01,75.14662856307571,
2001-03-01,71.29526644591303,
2001-06-01,67.84169613940699,
2001-09-01,68.69092884181461,
2001-12-01,67.53493176492299,
2002-03-01,70.0861195563926,
2002-06-01,73.11132764933737,
2002-09-01,74.1103705661175,
2002-12-01,75.69161559079124,
2003-03-01,75.75489430935716,
2003-06-01,76.00967845703381,
2003-09-01,78.17687584024321,
2003-12-01,80.54017301999367,
2004-03-01,82.7584773100686,
2004-06-01,84.68534367480687,
2004-09-01,85.64036614723804,
2004-12-01,87.02986796381188,
2005-03-01,91.0419027642594,17.2
2005-06-01,91.42624477521314,17.4
2005-09-01,92.71715707655713,17.0
2005-12-01,95.7831318736143,16.7
2006-03-01,96.87997638245407,16.7
2006-06-01,99.83105874969014,15.4
2006-09-01,99.07884559075052,15.8
2006-12-01,101.31675236037708,16.0
2007-03-01,103.16383831581922,16.0
2007-06-01,103.19533992617056,17.0
2007-09-01,103.8004718254085,17.1
2007-12-01,107.36352585532603,16.9
2008-03-01,109.62513010491584,17.0
2008-06-01,105.73497425969283,16.8
2008-09-01,103.81390734834605,18.4
2008-12-01,101.17700131126243,20.6
2009-03-01,95.4463161534827,22.5
2009-06-01,99.27084826337317,24.2
2009-09-01,101.64914063418891,22.3
2009-12-01,103.6336949489552,21.9
2010-03-01,103.32798069505135,21.2
2010-06-01,107.25517690263295,19.6
2010-09-01,110.22689802455497,19.9
2010-12-01,113.55926590127623,18.6
2011-03-01,116.11873069400441,16.9
2011-06-01,119.30931437603464,17.2
2011-09-01,122.48156190579215,16.9
2011-12-01,124.14401875814826,15.0
2012-03-01,123.03941790345033,15.1
2012-06-01,125.16495690444717,15.6
2012-09-01,127.37386037866845,15.1
2012-12-01,129.4155255963738,16.3
2013-03-01,133.20725248516956,16.5
2013-06-01,137.11791924834978,16.3
2013-09-01,139.12803524276643,16.6
2013-12-01,139.397706380577,17.0
2014-03-01,143.44173930590716,16.6
2014-06-01,141.11453156412855,17.4
2014-09-01,144.58338699630067,18.2
2014-12-01,146.53173400042203,18.7
2015-03-01,149.30228238487652,19.1
2015-06-01,151.57730490942697,18.6
2015-09-01,153.70168188658698,18.2
2015-12-01,155.49517585024344,17.9
2016-03-01,156.05734999706962,17.8
2016-06-01,158.29035341732956,18.9
2016-09-01,153.7511029602021,19.9
2016-12-01,162.22219163221723,21.5
2017-03-01,164.4427948561103,21.8
2017-06-01,168.19261485787527,21.0
2017-09-01,170.7422779193698,20.1
2017-12-01,173.9569471639101,18.8
2018-03-01,176.161482755908,18.3
2018-06-01,177.198191019845,19.1
2018-09-01,175.495050334722,20.1
2018-12-01,169.442247225773,22.8
2019-03-01,172.090925002714,25.4
2019-06-01,175.999535434216,24.9
2019-09-01,176.933685674974,26.0
2019-12-01,179.2962415047,24.8
2020-03-01,179.613786497468,23.5
2020-06-01,160.371153941863,24.7
2020-09-01,186.690753568089,25.1
2020-12-01,189.426350617761,25.3
2021-03-01,193.279180417032,25.1
2021-06-01,196.588569678974,23.3
2021-09-01,203.759143273719,21.6
2021-12-01,206.951964028044,21.1
2022-03-01,207.392221054358,20.3
2022-06-01,210.325574642027,19.9
2022-09-01,211.465973842222,19.0
2022-12-01,213.894751777458,19.0
2023-03-01,213.54687903028727,19.3
2023-06-01,221.25361335660884,17.8
2023-09-01,221.94379944588638,16.9
2023-12-01,224.05836726323642,15.9
